Model,Sample,N,Events,AUC,Brier,Cal. intercept,Cal. slope,Mean predicted risk
Age + sex,MIMIC development,"53,647","4,610",0.611,0.078,0.001,1.000,8.6%
Age + sex,MIMIC temporal,"8,270",942,0.581,0.101,-0.342,0.718,8.6%
Age + sex,eICU external,"109,687","8,540",0.609,0.071,-0.168,0.975,8.6%
Age + sex + binary high-threshold core-four labs,MIMIC development,"53,647","4,610",0.720,0.074,0.000,1.000,8.6%
Age + sex + binary high-threshold core-four labs,MIMIC temporal,"8,270",942,0.737,0.094,0.559,1.119,8.8%
Age + sex + binary high-threshold core-four labs,eICU external,"109,687","8,540",0.720,0.069,-0.198,0.967,8.7%
Age + sex + continuous RCS core-four labs,MIMIC development,"53,647","4,610",0.735,0.073,0.053,1.026,8.6%
Age + sex + continuous RCS core-four labs,MIMIC temporal,"8,270",942,0.760,0.092,0.600,1.134,8.7%
Age + sex + continuous RCS core-four labs,eICU external,"109,687","8,540",0.735,0.068,-0.160,0.981,8.6%
Age + sex + BUN + WBC RCS,MIMIC development,"53,647","4,610",0.731,0.074,0.054,1.026,8.6%
Age + sex + BUN + WBC RCS,MIMIC temporal,"8,270",942,0.753,0.093,0.570,1.121,8.7%
Age + sex + BUN + WBC RCS,eICU external,"109,687","8,540",0.728,0.068,-0.179,0.971,8.6%
