Model,Term,Coefficient,Mean,SD,Unit or definition,Implementation note
All models,Prediction formula,,,,,logit(p)=intercept+sum beta_j*z_j; p=1/(1+exp[-logit(p)]). z_j=(design term_j-mean_j)/SD_j after spline-basis construction.
All models,Calibration intercept/slope,,,,,Estimated by fitting observed in-hospital death on the logit of predicted risk; intercept=0 and slope=1 indicate ideal calibration.
All models,Physiologic plausibility ranges,,,,,Glucose 10-1000 mg/dL; creatinine 0.1-30 mg/dL; BUN 1-300 mg/dL; WBC 0.1-500 x 10^9/L. Values outside these ranges were treated as invalid.
Binary core-four,Binary cut points,,,,,"Peak-aligned comparator with four separate high-threshold indicators: glucose >=180 mg/dL, creatinine >=1.5 mg/dL, BUN >=30 mg/dL, and WBC >12 x 10^9/L."
All prediction models,L2 penalty,,,,,Fixed L2 penalty lambda=1.0 applied to non-intercept coefficients for numerical stability; not tuned using temporal-validation or eICU data.
All models,Prediction code,,,,,"Implemented in scripts/run_eicu_external_validation.py using rcs_basis, standardize_apply, fit_logistic_irls, and predict_logistic."
age_sex,Intercept,-2.43445,,,standardised design-matrix scale,Model intercept after fitting in the MIMIC-IV development set.
age_sex,age_numeric,0.420923,63.3697,16.9661,years,Age at ICU admission.
age_sex,gender_male,-0.0285666,0.560162,0.496367,binary,1=male; 0=female.
binary_core4,Intercept,-2.60626,,,standardised design-matrix scale,Model intercept after fitting in the MIMIC-IV development set.
binary_core4,age_numeric,0.31423,63.3697,16.9661,years,Age at ICU admission.
binary_core4,gender_male,-0.100951,0.560162,0.496367,binary,1=male; 0=female.
binary_core4,glucose_high_24h,0.0956998,0.343822,0.474982,binary,1=peak first-day glucose >=180 mg/dL; 0=otherwise.
binary_core4,creatinine_high_24h,0.274502,0.22635,0.418468,binary,1=peak first-day creatinine >=1.5 mg/dL; 0=otherwise.
binary_core4,bun_high_24h,0.31481,0.239734,0.426921,binary,1=peak first-day BUN >=30 mg/dL; 0=otherwise.
binary_core4,wbc_high_24h,0.251797,0.462635,0.498602,binary,1=peak first-day WBC >12 x 10^9/L; 0=otherwise.
rcs_core4,Intercept,-2.65439,,,standardised design-matrix scale,Model intercept after fitting in the MIMIC-IV development set.
rcs_core4,age_numeric,0.228056,63.3697,16.9661,years,Age at ICU admission.
rcs_core4,gender_male,-0.12091,0.560162,0.496367,binary,1=male; 0=female.
rcs_core4,glucose_max_24h_linear,0.101364,174.776,81.3406,mg/dL,"peak first-day glucose; RCS knots: 93, 135, 178, 330."
rcs_core4,glucose_max_24h_rcs1,0.10707,1.49431e+06,3.45242e+06,RCS basis,"Restricted cubic spline basis for peak first-day glucose; knots: 93, 135, 178, 330."
rcs_core4,glucose_max_24h_rcs2,-0.111385,490365,1.35991e+06,RCS basis,"Restricted cubic spline basis for peak first-day glucose; knots: 93, 135, 178, 330."
rcs_core4,creatinine_max_24h_linear,0.402135,1.38537,1.50679,mg/dL,"peak first-day creatinine; RCS knots: 0.5, 0.8, 1.1, 3.8."
rcs_core4,creatinine_max_24h_rcs1,1.78993,2.13937,7.53712,RCS basis,"Restricted cubic spline basis for peak first-day creatinine; knots: 0.5, 0.8, 1.1, 3.8."
rcs_core4,creatinine_max_24h_rcs2,-2.19781,0.895288,3.37684,RCS basis,"Restricted cubic spline basis for peak first-day creatinine; knots: 0.5, 0.8, 1.1, 3.8."
rcs_core4,bun_max_24h_linear,1.16327,24.9996,20.873,mg/dL,"peak first-day BUN; RCS knots: 8, 15, 23, 67."
rcs_core4,bun_max_24h_rcs1,0.301135,15628,40137.5,RCS basis,"Restricted cubic spline basis for peak first-day BUN; knots: 8, 15, 23, 67."
rcs_core4,bun_max_24h_rcs2,-1.02002,6407.89,18202,RCS basis,"Restricted cubic spline basis for peak first-day BUN; knots: 8, 15, 23, 67."
rcs_core4,wbc_max_24h_linear,-0.422015,13.1292,10.4449,x 10^9/L,"peak first-day WBC; RCS knots: 4.8, 9.5, 13.8, 25.4."
rcs_core4,wbc_max_24h_rcs1,5.6072,1432.96,4974.9,RCS basis,"Restricted cubic spline basis for peak first-day WBC; knots: 4.8, 9.5, 13.8, 25.4."
rcs_core4,wbc_max_24h_rcs2,-5.07316,395.95,1792.2,RCS basis,"Restricted cubic spline basis for peak first-day WBC; knots: 4.8, 9.5, 13.8, 25.4."
rcs_bun_wbc,Intercept,-2.64829,,,standardised design-matrix scale,Model intercept after fitting in the MIMIC-IV development set.
rcs_bun_wbc,age_numeric,0.224306,63.3697,16.9661,years,Age at ICU admission.
rcs_bun_wbc,gender_male,-0.109569,0.560162,0.496367,binary,1=male; 0=female.
rcs_bun_wbc,bun_max_24h_linear,1.45231,24.9996,20.873,mg/dL,"peak first-day BUN; RCS knots: 8, 15, 23, 67."
rcs_bun_wbc,bun_max_24h_rcs1,0.356279,15628,40137.5,RCS basis,"Restricted cubic spline basis for peak first-day BUN; knots: 8, 15, 23, 67."
rcs_bun_wbc,bun_max_24h_rcs2,-1.29666,6407.89,18202,RCS basis,"Restricted cubic spline basis for peak first-day BUN; knots: 8, 15, 23, 67."
rcs_bun_wbc,wbc_max_24h_linear,-0.383988,13.1292,10.4449,x 10^9/L,"peak first-day WBC; RCS knots: 4.8, 9.5, 13.8, 25.4."
rcs_bun_wbc,wbc_max_24h_rcs1,5.75825,1432.96,4974.9,RCS basis,"Restricted cubic spline basis for peak first-day WBC; knots: 4.8, 9.5, 13.8, 25.4."
rcs_bun_wbc,wbc_max_24h_rcs2,-5.25298,395.95,1792.2,RCS basis,"Restricted cubic spline basis for peak first-day WBC; knots: 4.8, 9.5, 13.8, 25.4."
